Respondent Age	Enumerator Name	Age	Gender	Community / Area	Occupation	Biggest Community Problems	Other Community Problem	Problem That Affects You Most	Current Solutions	What Is Missing or Not Working	Support That Would Help	Other Support Needed	Who Needs Support Most	Top Priority Problem	Why Is This Urgent	Preferred Communication Channel	Other Communication Channel	Barriers to Using New Services	Additional Comments
36-50			Female	Grafton	Unemployed	Insecurity	The Thief are how biggest problem 	Market not available 	Family support and Self effort 	Communication with authority 	Health services,Business or financial support	Road network 	Women,Everyone	Insecurity is the most urgent need 	Community market 	Community meetings,Radio	Face to face talk with authority 	Distance from my house to the market 	As I said the last time thief are everywhere in the community 
26-35			Female	Grafton	Unemployed	Water or sanitation problems	Light 	Water facilities 	Government 	Water 	Education support,Business or financial support	Job opportunities 	Everyone	Water and light 	Because most people depends on light for survival 	Radio	It will be nice if they do it through radio station because it helps to spread the New so everyone will benefit 	Trust 	If they provide job opportunities in the community it will help a lot because of the youth have engage in drugs to be specific kush 
36-50			Female	Grafton	Unemployed	Water or sanitation problems,Drug or substance abuse		Water,light and transportation 	NGOs	Some community member	Education support,Business or financial support,Skills training		Everyone	Light problem 	Some of them survived throught the light	Community meetings,Radio		Time,distance 	Need government intervention for the youth in there community, youth advovacy 
18-25			Male	Grafton	Electricity Engineer	Water or sanitation problems,Unemployment,Drug or substance abuse	Water Facility and market facility 	Thieves and Sustance abuse 	Government support and humanitarian help 	People to talk to directly is a major challenge	Skills training,Women and girls support,Youth programs	Placement for students for work 	Youth,Men	Drug abuse and the insecurities in the community 	Because Youth are dieing everyday 	Community meetings,Radio,Social media	Face to face meeting with the police authority 	Fear and lack of information 	Nothing else 
18-25			Male	Grafton	Driver	Water or sanitation problems	Health facilities 	Water scarcity or unavailability of water resources 	Water well built by Salam Organization 	As there’s only one water well it’s difficult because of the large number of people 	Other	Water facilities 	Everyone	Water availability 	Because it’s affect the livelihood and also health and wellbeing of people in the community 	Community meetings		Trust because previous organizations have asked the same questions 	Help with employment and toilet facilities 
36-50			Female	Grafton	Unemployed	Unemployment		Unemployment 	Government programs 	The government programs are not reaching everyone, and even when they do, they are not enough to help people get stable jobs.”	Job opportunities		Everyone	Unemployment 	This is urgent because me na  widow taking care of my  three children, and two of them are in university. Without a stable job, it is very difficult for me  to support my  family.	Community meetings,Radio		Fear	More job opportunities and support are needed in my  community, especially for we thesingle parents and widows who are struggling to take care of our families.
26-35			Male	Grafton	Carpenter	Unemployment,Drug or substance abuse,Water or sanitation problems	Light and electricity	Light and electricity with regards the kind off job I do.	None 	Laise	Job opportunities,Skills training,Mental health support	Provision of water and electricity,provision of tools for his work.	Everyone	Light and water 	Because of the kind of work I do and also the community is struggling.	Community meetings		Cost	
26-35			Female	Grafton	Hairdresser	Water or sanitation problems,Gender-based violence	Market facility 	Market facility because The authority are trying to pull the people from the market area 	Western Rural Council 	Communication between the community people and the authority 	Business or financial support,Mental health support,Youth programs	Water Facility  and electricity 	Women,Men,Children,Everyone	The market facility is the most urgent needed 	Because we're are suffering to go to market with the high cost of transportation 	In-person support centers,Community meetings,Radio		Distance and lack of information 	
26-35			Female	Grafton	Business	Water or sanitation problems,Poverty		Light toilet issue	Government help,self effort 	Barrier to some service 	Business or financial support,Education support		Children,Women	Business area	It is urgent because it the mean we use to support our children 	Phone / WhatsApp		Cost,lack of information 	
18-25			Female	Grafton	Trader	Water or sanitation problems,Other	Electricity unavailability 	Electricity 	No apparent solution 	No solutions as of yet	Other	Provision of electricity 	Everyone	Electricity provision 	Because the unavailability of electricity disrupt the business of people who provide for the family through trading and need electricity for their businesses 	Community meetings		Lack of information 	There’s no head to report problems happening in the community so it’s difficult for help to come in.
36-50			Male	Grafton	Employed	Water or sanitation problems,Drug or substance abuse,Insecurity,Other		Poor road conditions	None	There is no support or action being taken to fix the roads, so the problem continues.	Skills training		Everyone	Poor road conditions	This is urgent because it affects  me daily 
 The road is very dusty, which causes discomfort and can affect people’s health.	Community meetings		Lack of information 	The community really needs support to fix the roads and improve living conditions. This will help reduce dust and make movement easier for everyone.
Above 50			Female	Grafton	Business	Water or sanitation problems,Unemployment,Mental health challenges,Drug or substance abuse	Market facility 	The Youth are addicted to drugs and that's leads to thieves 	Family support and Self effort 	Proper communication between the community people and the people in authority 	Mental health support,Business or financial support,Information or awareness programs	Due to the poor road network has lead to accident to Our children 	Everyone	Market facility and Youth employment 	Because of the lack of water Facility Our children are getting pregnant 	Community meetings,Radio,Social media	By reporting to the police authority and chief	Cost of transportation and distance to market 	All I have said 
18-25			Female	Grafton	Business	Water or sanitation problems	Light 	Water it is difficult to access clear water	Government 	Water and light 	Education support	Water facilities 	Everyone	Water facilities support by providing ways to get water because in this community there is only one water facility support that we have 	Because we need it the most 	Community meetings	Social media 	Distance and lack of information 	For now there's no only additional comments to make 
18-25			Female	Grafton	Trader	Water or sanitation problems,Poor healthcare	Electricity unavailability 	Both of these problems 	No apparent solution 	No solutions as of yet	Other	Resources for water, provision of health care facilities 	Everyone	Water resource unavailability 	Because it’s affect businesses people are involved in, in the community 	Community meetings		Time 
As people have works they do and students need to go to their respective institutions 	There’s no one to report problems affecting the community 
36-50			Female	Grafton	Business	Poverty,Unemployment,Poor healthcare,Poor education,Water or sanitation problems,Drug or substance abuse	Cemetery 	Water and sanitation,electricity 	None	Laise 	Skills training,Business or financial support,Mental health support,Job opportunities		Everyone	Light	The kind of business she does has to with electricity 	Community meetings		Cost 	Education,the distance to attend school is out of the community which raises concerns for parents for there children.
26-35			Male	Grafton	Student	Water or sanitation problems,Other		Electricity problem 	Government help 	The electricity supply is not stable, and government help is not consistent, so people still experience frequent power outages.	Skills training,Mental health support		Everyone	Electricity problem 	This is urgent because lack of electricity affects  me studying, especially for we  students, and also affects daily activities in the community.	Radio,Social media		Some people are afraid to try new services because they are not sure if it will work or benefit we	Improving electricity and providing more support for we  students, including skills training and mental health support, will really help the community.
18-25			Male	Grafton	Security Officer	Water or sanitation problems,Unemployment,Drug or substance abuse,Poor healthcare	Market facility and drainage problem  	Hospital and electricity Infrastructure 	Government support and Self effort 	The manners in which the authority in charge are not taking responsibility 	Skills training,Youth programs,Business or financial support,Mental health support	Drug and Substance Abuse awareness camping 	Everyone	Drainage and toilet facility within the camp area	Because of health problem 	Community meetings,Radio	Through Youth mobilization to meet and talk to the authority 	Time of the implementation of the project at pipeline 	Preaching Peace and love among the Youth in our neighborhood 
18-25			Male	Grafton	Employed	Unemployment,Other		Unemployment and electricity problem 	Government help 	Government support is not enough, and there are still no real job opportunities, so many young people remain unemployed.	Skills training,Job opportunities		Everyone	Unemployment 	This is urgent because when there are no jobs, many youths may get involved in theft or other negative activities.	Social media,Radio		 Distance can stop people from accessing services, especially if they are far from the community.	Bring more job and skill training 
Above 50			Female	Grafton	Unemployed	Water or sanitation problems,Other,Poor healthcare	Electricity 	Water resource unavailabley	Self effort	No assistance coming in	Health services,Other	Water resource, electricity 	Children,Women	Water resource availability 	Because this affects the livelihood of people in the community leading to bigger problems like poverty 	Community meetings			This community was bought from the Bombay  slums by an NGO and has been left ever since
Above 50			Male	Grafton	Contractor(Painter)	Unemployment,Poor education,Drug or substance abuse,Water or sanitation problems,Poor healthcare	Light and electricity 	Sanitation because he leaves under the bridge and that’s the place the community use for disposing waste.
Light 
Health because of distance and inadequate health facilities.	NGO(Forut)	Laise 	Job opportunities,Youth programs,Business or financial support,Health services,Skills training	Provision of machines for his kind work as a builder and painter.	Everyone	Machine	He is a builder(engineer) and a painter.	Social media,Community meetings,Radio			Cemetery provision.
A place for worship(mosque).
36-50			Male	Grafton	Employed	Water or sanitation problems,Insecurity	Electricity supply	Electricity supply more	Government help,NGOs	No  commitment in the Community,we lack one voice	Skills training,Women and girls support,Job opportunities	Mirco assistance 	Youth,Women	Mirco assistant ,skills training 	Because they are the development of the community 	In-person support centers,Community meetings	Come on ground to confirm the help	Lack of information,trust,	Setup responsible group or commit to follow up the program 
18-25			Male	Grafton	Student	Poor healthcare,Other		Poor healthcare 	None	There are no nearby well-equipped health facilities, and people often struggle to get proper treatment or support when they are sick.	Mental health support,Other		Everyone	Poor health care	This is urgent because poor healthcare affects people’s health and can make simple illnesses become serious if not treated on time.	Social media		Many people do not have enough information about available health services, so they don’t know where or how to get help.	My community needs better healthcare facilities, more awareness, and mental health support to improve people’s wellbeing.
Above 50			Female	Grafton	Business	Unemployment,Drug or substance abuse,Water or sanitation problems		Water and sanitation 
Light	Forut 	Laise	Job opportunities,Skills training,Education support,Business or financial support	Bad driving because the live closer to the high way and occurrence of accidents.	Everyone	Water and sanitation 
Skills training	She lives under the bridge and that’s place us use for disposable.	Community meetings,Social media		Cost	Mice credit provision 
26-35			Male	Grafton	Student	Water or sanitation problems,Poor healthcare,Drug or substance abuse,Gender-based violence	Prostitute among the Youth 	Health care and Drugs abuse among Young people 	Community support and humanitarian NGO, government support 	The misuse of the facilities provided in the among Young people are not taking responsibility 	Skills training,Women and girls support,Health services,Information or awareness programs	Community awareness camping for drugs Abuse and peace and love among Young people 	Everyone,Children	Water Facility and market facility 	which causes young woman to get pregnant with people of high position 	In-person support centers,Radio,Phone / WhatsApp,Community meetings	Pay visit to person in intesst like stallholder 	Because of the poor road network has caused high cost transportation	Please we the young people need peace and love among Our self 
18-25			Male	Grafton	Student	Water or sanitation problems,Other	Electricity unavailability 	Electricity availability 	No apparent solution 	No solution as of yet	Other	Electricity resource 	Everyone	Electricity 	This problems affect students and people in business and if not dealt with could lead to bigger problems 	Community meetings,In-person support centers		Lack of information on how this service works 	This community was given relief by an NGO and was left to make developments themselves 
18-25			Male	Grafton	Student	Drug or substance abuse,Poor education,Other	Electricity problem 	Electricity 	Government help 	There is little effective intervention or support to reduce drug and substance abuse in the community, so the problem is still increasing.	Job opportunities		Everyone	Drug and substance abuse 	This is urgent because drug and substance abuse is affecting young people, leading to poor education, bad behaviour, and loss of focus in school and the community.	Social media		Lack of information 	The community needs stronger awareness programs, youth engagement activities, and job opportunities to reduce drug use and support education.
18-25			Male	Grafton	Employed	Water or sanitation problems	Job opportunities 	Job opportunities 	NGO	Water and light they are trying to provide 	Education support,Skills training		Women,Youth	Water, light ,job.	They need some if these opportunities in the community so that it will help the community people 	Community meetings	Radio station 	Lack of information 	Yes by providing more job opportunities for the youth 
18-25			Male	Grafton	Community work on the water Facility tap water	Water or sanitation problems,Gender-based violence,Drug or substance abuse	Electricity and Drainage 	The Drug and Substance Abuse among the Youth 	Government support and humanitarian NGO help and a little bit of community support 	Trust among Young people and the authority 	Skills training,Education support,Job opportunities,Business or financial support,Information or awareness programs,Mental health support	Lack of Drainage that leads to flooding 	Everyone,Youth	Drug Abuse awareness camping and drainage within the community 	Camping against drug and Substance Abuse 	Community meetings,Radio,In-person support centers	None because the authority they are not encouraging the young people 	Cost of transportation, lack of information and fear of arrest 	Just that for granting me this interview 
36-50			Female	Grafton	Business	Drug or substance abuse,Water or sanitation problems,Poor education	 No space to throw dirty,No government school in the area	Water problem	Government help, NGOs	None	Women and girls support,Business or financial support		Women,Children	Education sector	Because it is very important 	Phone / WhatsApp,In-person support centers,Community meetings		Lack of information,time	To support women in the Community 
18-25			Male	Grafton	Student	Water or sanitation problems,Other	Electricity problem 	Water or sanitation 	Family support 	Right now, the help we get is not enough. Families try their best, but there is no proper system or support from outside, so the problem is still there.”	Education support,Job opportunities		Everyone	Water or sanitation problems 	This is urgent because lack of clean water and sanitation can cause sickness and makes life very difficult for people in the community.”	Radio		Costs 	
36-50			Female	Grafton	Unemployed	Water or sanitation problems,Other,Poor healthcare	Electricity unavailability 	Water resources unavailability 	Water well built by an NGO call Salam	As there’s only one water well and large number of members it’s very difficult to use this resource 	Other,Education support	Creat water and electricity resources 	Children,Women	Water resources 	Because this problem affects the health and wellbeing also education of children and disturb the businesses of people in business 	Community meetings		Time and fear of lack of information on how the services is made and used	This community’s head is seldomly seen so it’s difficult have someone to help communicate these problems to.
18-25			Male	Grafton	Student	Drug or substance abuse		Drug or substance abuse 	Government help 	There is little effective intervention or support to reduce drug and substance abuse in the community, so the problem is still increasing.	Education support		Everyone	Drug or substance abuse 	This is urgent because drug and substance abuse is affecting young people.	Social media		Lack information 	
18-25			Male	Grafton	Student	Gender-based violence,Poverty,Poor education,Poor healthcare,Unemployment,Drug or substance abuse	Light,cemetery 	Unemployment 	Forut 	Laise
Interviews 	Skills training,Job opportunities,Business or financial support,Education support,Women and girls support,Mental health support		Everyone	Light 
Water
Health facility
Employment
Skills training 
	People are going through a lot.	Community meetings,In-person support centers	Partnership	Cost,distance 	Cemetery,health center,water,market
18-25			Male	Grafton	Student	Unemployment,Poor education,Poor healthcare,Drug or substance abuse,Insecurity		Light and water and sanitation 	Forut	Laise
Interviews 	Skills training,Education support,Health services,Job opportunities		Everyone	Water and sanitation 
Health center 
Light	It’s affecting my personal life 	Community meetings,Social media		Cost
Distance 	
26-35			Female	Grafton	Unemployed	Water or sanitation problems,Other,Poor education,Poor healthcare	Electricity unavailability 	Water resource unavailability 	No apparent solution 	No solution as of yet	Other,Education support	Water resources availability 	Women,Children	Water resources unavailability 	Because this affects the health and wellbeing also education of children and disturb businesses people are involved in leading to bigger problems 	In-person support centers,Community meetings		Trust if the new program would help the current problems 	This community was relief from Bombay slums and have not received any developmental help since then.
26-35			Female	Grafton	Business	Water or sanitation problems	Light issues 	Water 	NGO	Water problem is the most important thing we need 	Other	Market we need a market center 	Youth,Women	Water facilities and also job opportunities 	Most of the youth needs  this help and also there's no medical health center in this community 	Community meetings		Cost 	Providing patty cash for the women in the community by providing load and fund 
36-50			Male	Grafton	Employed	Poverty,Poor healthcare,Drug or substance abuse,Insecurity,Water or sanitation problems,Poor education	Cemetery,market place,dustbin	Light
Water and sanitation 	Forut	Laise
Interviews	Job opportunities,Business or financial support,Health services		Everyone	Water and sanitation 
Light
Health center 	It’s affecting me personally 	Radio,Community meetings		Lack of information 	
18-25			Male	Grafton	Student	Other,Drug or substance abuse	Lack electricity 	Drug or substance abuse 	Government help	There is little effective intervention or support to reduce drug and substance abuse in the community, so the problem	Business or financial support,Skills training,Information or awareness programs		Everyone	Drug or substance abuse 	This is urgent because drug and substance abuse is affecting young people, leading to poor education, bad behaviour, and loss of focus in school and the community.	In-person support centers		Lack of information 	
26-35			Male	Grafton	Business	Drug or substance abuse,Unemployment,Gender-based violence,Insecurity,Water or sanitation problems,Poor healthcare	Prostitute among Young people and Cemetery for buried the death people 	Water Facility, Electricity and poor road network infrastructure 	None of them are not helping our community 	Community stalk holder engagement among Young people and the authority 	Skills training,Job opportunities,Women and girls support,Health services,Youth programs,Information or awareness programs	Build rehabilitation center for the young people who are engaged in drugs Abuse 	Youth,Women,Everyone	Law and Order enforcement within the community 	Because Thief are too much with in this community 	Community meetings,Radio	 Street rally 	Lack of information and fear of arrest 	Law enforcement officer should Frequently  raiding community with drugs issues
26-35			Female	Grafton	Business	Drug or substance abuse,Water or sanitation problems	Transportation,electricity supply 	Financial problem 	Government help, NGOs	No idea	Business or financial support,Job opportunities,Information or awareness programs	Road maintenance, Doping site	Youth,Women	To provide doping site 	It is important to prevent malaria 	Community meetings,In-person support centers		Lack of information,trust	Provide vocational institutions 
36-50			Male	Grafton	Employed	Poverty,Poor healthcare,Insecurity,Water or sanitation problems,Mental health challenges,Drug or substance abuse		Water and sanitation 
Light
	Forut	Laise
Interviews	Job opportunities,Mental health support,Skills training,Business or financial support		Everyone	Job opportunities 
Water and sanitation 	It’s affecting my kind of work.	Community meetings,Social media		Lack of information 	Cemetery,worship place,market,health center
36-50			Male	Grafton	Employed	Unemployment,Poverty,Poor healthcare,Drug or substance abuse,Insecurity,Water or sanitation problems	Light,disposable bins 	Water and sanitation 
Light	Forut	Laise
Interviews 	Job opportunities,Business or financial support,Skills training,Health services		Everyone	Water and sanitation 
	It’s affecting me personally 	Community meetings,Social media		Cost	Cemetery,market place,worship center,field.
26-35			Female	Grafton	Business	Other	Light problem if we have light it will take a weeks before get light back 	Light 	Government support 	Light issues most time we contribute for us to get light Even as that still 	Education support		Youth	Water 	We find it very different to have access to water facilities and the other things also that's we are facing in the community we don't have market center or even community center 	Community meetings		Lack of information 	To provide a market center for the community 
26-35			Male	Grafton	Employed	Water or sanitation problems,Other	Electricity unavailability , no good access roads 	Electricity unavailability 	Organizations like Liberation and Salam have tried to help with water resources 	Liberation’s help had a cost
Salam only provided one water resources 	Other	Electricity provision, Water resources 	Everyone	Electricity provision 	Because this affects students and their education workers who need electricity to do their and also women involved in businesses	Community meetings		Trust in the service or program 	Sss
26-35			Female	Grafton	Employed	Water or sanitation problems,Poor education,Mental health challenges	Electricity supply	Electricity supply 	NGOs,self-effort	Poor management	Mental health support,Youth programs,Business or financial support,Other	Water supply 	Everyone	Water facilities 	Because it a community problem 
	Community meetings,In-person support centers		Lack of information,distance 	To use the right people to pass the information 
18-25			Female	Grafton	Student	Drug or substance abuse		Drug or substance abuse 	Government help	There is little effective intervention or support to reduce drug and substance abuse in the community, so the problem is still increasing.	Education support		Everyone	Drug or substance abuse 	They misuse their life so bad 
And This is urgent because drug and substance abuse is affecting young people, leading to poor education, bad behaviour, and loss of focus in school and the community	Social media,Radio		Lack of information 	
26-35			Female	Grafton	Unemployed	Poverty,Unemployment,Poor healthcare,Insecurity		Light
Water and sanitation 	Forut	Interviews 
Laise	Skills training,Job opportunities,Business or financial support		Youth	School facilities (community)	Our children attend school out of the community.	Community meetings			Cemetery,market place,worship place.
18-25			Female	Grafton	Catering	Water or sanitation problems,Drug or substance abuse	Electricity, 	Electricity 	The government support and community 	Communication about the issues to the authority in charge 	Youth programs,Skills training,Business or financial support	Water Facility and electricity Infrastructure 	Everyone	Electricity 	It's good because we can prepare our meals and keep it up 	Community meetings,In-person support centers,Social media	Not 	Cost and availability 	
18-25			Female	Grafton	Unemployed	Poor healthcare,Other,Poor education,Drug or substance abuse	Electricity unavailability 	Electricity unavailability 	No apparent solution 	No solution as of yet	Other	Electricity provision 	Everyone	Electricity unavailability 	Because this affects people who are involved in business more 	Phone / WhatsApp		Lack of trust
Cost of service or program 	The community was promised help a lot of times but none proceed to give actual help 
26-35			Female	Grafton	Unemployed	Unemployment,Poverty,Poor healthcare,Insecurity,Drug or substance abuse,Water or sanitation problems		Light
Hospital 
School facilities 	None	Interviews
Laise	Job opportunities,Skills training,Health services,Business or financial support,Women and girls support		Women,Children	Business initiatives 	I want to start a business	Community meetings,Social media		Lack of information 	Light
Schools
Hospitals 
Cemetery
Market place
Worship center 
26-35			Female	Grafton	Business	Unemployment,Poverty,Poor healthcare,Drug or substance abuse,Water or sanitation problems		Poor health 
Poverty	None	Interviews
Laise 	Job opportunities,Women and girls support,Business or financial support,Health services,Information or awareness programs		Everyone	Light
Water and sanitation 
Job opportunities 
Health services	I am going through a lot of challenges to acces these 	Community meetings		Lack of information 
Distance 	Worship center 
Above 50			Female	Grafton	Business	Unemployment,Gender-based violence,Drug or substance abuse,Insecurity,Water or sanitation problems	Drainage problem with in our community  and the community market facility and cemetery burials purpose 	Hungers to feed my chickens is a very big problem . The health and water sanitation 	Humanitarian NGO and government support 	Support and communication between the Youth and elder people 	Youth programs,Skills training,Women and girls support,Business or financial support	Provide land of market facility 	Everyone	Drug and Substance Abuse among Young people and also don't forget prostitution. Meaning sex for money among Young woman 	We need water Facility and electricity Infrastructure 	Community meetings,Radio		Fear for arrest from police authority 	At times we are afraid to talk because of arrest 
18-25			Female	Grafton	Student	Water or sanitation problems,Other	Marketing and electricity problem 	Water or sanitation problems government help 	Family support 	Right now, the help we get is not enough. Families try their best, but there is no proper system or support from outside, so the problem is still there.	Skills training		Everyone	Water or sanitation problems 	People are suffering for water 
If really affecting us 
With out electricity we cannot fetch water 	Community meetings		Cost because with out electricity we cannot get water ans if they on generator the money will be more costly to fetch water	To support  young people 
Bring skills training and job opportunities for we 
18-25			Female	Grafton	Student	Unemployment,Water or sanitation problems,Poverty,Other	Electricity 	Unemployment 	No apparent solution 	No solution as of yet	Job opportunities,Education support		Youth,Women	Unemployment 	Because being unemployed is causing problems like drug abuse or theft and also bigger problems like poverty 	Community meetings		Distance and fear that this might not help	
18-25			Female	Grafton	Employed	Other,Water or sanitation problems		Water 	Government 	Water facilities 	Skills training,Education support		Women	Skills training this will help most of the community youths 	This will help most of the youth in the community most of us want to learn more skills training but we don't have the opportunity 	Community meetings		Lack of information most this opportunity when they come in the community not everyone will benefit it	Poor Road network both the raining season and the drying season 
26-35			Female	Grafton	Unemployed	Drug or substance abuse,Unemployment,Poverty,Water or sanitation problems		Light
	None	Interviews 
Laise	Women and girls support,Health services,Job opportunities,Skills training		Women	Job opportunities 
Loans
	We are going through a lot.	Social media		Lack of information 	Cemetery
Hospital
Worship center

26-35			Female	Grafton	Student	Water or sanitation problems,Drug or substance abuse,Poor education	Road maintenance,electricity supply 	Electricity supply 	Government help, NGOs	Poor planning of the Community members 	Skills training,Job opportunities	Non	Everyone	Water facilities 	Because you can't live without water 	Radio	Town cryer	Lack of information,Trust	To help promote non formal education ,The drug abuse
36-50			Female	Grafton	Business	Gender-based violence,Drug or substance abuse	Market facility 	Market facility is the most urgent needed problem because police are arresting us and take away our marketing items 	NGO to support to us for business 	Funding and communication 	Women and girls support,Business or financial support,Information or awareness programs	Give us fund for money 	Women,Everyone,Children	Business money is our mostly needed microcredit 	Because of doing business is a big problem 	Community meetings	Not 	Cost of transportation and distance to market 	The market facility is a big problem with our community 
18-25			Female	Grafton	Unemployed	Poverty,Unemployment,Poor education,Poor healthcare		Job opportunities or unemployment 	None	Interviews
Laise	Job opportunities,Women and girls support		Everyone	Light
Job opportunities 	For the flow of finance and resources.	Community meetings			Needs help and support.
36-50			Female	Grafton	Business	Water or sanitation problems,Other	Market place problem  lack of Toilet 	Lack of toilet 	Government help 	The support is not enough. There are very few public toilets, and the existing ones are not properly maintained or clean.	Health services,Business or financial support		Everyone	Lack of toilet 	This is urgent because poor sanitation is affecting the health of everyone in the community. People are forced to use unsafe places, which can lead to diseases and makes the environment dirty and uncomfortable.	Community meetings		Lack of awareness
Cost of services
Poor maintenance of facilities
Limited trust in new programs	The community urgently needs improved sanitation facilities, especially toilets in the market area. Proper management and regular maintenance should also be ensured so the facilities remain usable and clean.
18-25			Male	Grafton	Employed	Water or sanitation problems,Poor healthcare,Mental health challenges,Drug or substance abuse,Other	Electricity unavailability 	Poor Healthcare	Self effort	No financial help	Health services,Education support,Job opportunities		Everyone	Job opportunities 	Because with no financial help and job which may lead to poverty this can cause to encourage people using drugs	Community meetings		Cost of services
Distance of services or program	The unemployment rate is gradually encouraging the use of drugs
36-50			Female	Grafton	Unemployed	Water or sanitation problems,Poor healthcare,Unemployment	Electricity supply 	Water supply	NGOs,	Poor administration 	Women and girls support,Business or financial support,Youth programs	Mirco finances 	Everyone	Water supply 	It will help school going children 	In-person support centers,Phone / WhatsApp		Cost of transportation, distance 	None at the moment 
26-35			Male	Grafton	Employed	Other,Water or sanitation problems	Electricity unavailability, Access road	Electricity unavailability 	No apparent solution 	No solution yet	Other	Water resources provision, Electricity provision, good access roads	Everyone	Water resource availability 	Because this is the problem that’s most affecting the community 	Community meetings		Lack of information of services 	Poor waste disposal in the community is affecting the community also.
36-50			Male	Grafton	Employed	Other	Poor Road network 	Water 	Government support and NGO 	Water issues 	Other	We need more Machine to work because I have a welding shop but I lack tools to used 	Youth,Men	Poor Road network we as the polio people we find it very difficult to have access to road 	It will help us that's why even at night we have find it very different to access road 	Community meetings		Distance and lack of information 	Light and water facilities support 
18-25			Female	Grafton	Student	Poverty,Drug or substance abuse,Poor education,Poor healthcare,Water or sanitation problems	Market place,cemetery,hospitals 	Light
Lack of school facilities 	None	Interviews
Laise 	Business or financial support,Job opportunities,Skills training,Women and girls support,Youth programs		Youth,Children	Skills training	To help the youth develop.	Social media,Radio,Community meetings		Distance 	
18-25			Male	Grafton	Phone Mechanic	Unemployment,Mental health challenges,Drug or substance abuse,Water or sanitation problems	Electricity and water Facility 	Unemployment and drugs Abuse among Young people 	Self effort 	Communication and community engagement 	Skills training,Information or awareness programs		Everyone	Water Facility 	Water Facility 	Community meetings,In-person support centers,Radio		Cost of water and Thief 	Lawlessness among Young people is very challenging 
26-35			Male	Grafton	Business	Other,Water or sanitation problems	Electricity problem 	Water or sanitation problems 	NGOs 	Right now, the help we get is not enough. Families try their best, but there is no proper system or support from outside, so the problem is still there.	Skills training,Job opportunities		Everyone	Water or sanitation problems 	This is urgent because lack of clean water and sanitation can cause sickness and makes life very difficult for people in the community.	Community meetings		Costly 	We really need more support in our community, especially for water and sanitation. If this is improved, it will help everyone live better and healthier.
18-25			Male	Grafton	Student	Water or sanitation problems	Electricity 	Water Facility 	Government support and humanitarian NGO 	Like trust among us the young people and the elders 	Skills training,Business or financial support	Water Facility and electricity Infrastructure 	Everyone	Electricity 	Because without light people can not do their Norma work 	Community meetings,Radio		Fear of arrest from the community elder 	
36-50			Female	Grafton	Employed	Water or sanitation problems		Light 	Government and NGO 	Water tank 	Skills training,Education support		Everyone	Skills training and job opportunities 
	Most of the disabled people need help 	Community meetings		Time not everyone has time for radio 	The problems are too much in the community most of the youth  want to do better things with they life but they find it very difficult to access these facilities 
